City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,narsaq,90,GL,1536087000,32,60.91,-46.05,55.4,17.22
88,vitim,0,RU,1536089129,86,59.44,112.57,36.46,3.51
89,yumen,0,CN,1536088648,51,40.29,97.04,54.46,6.98
90,general nakar,80,PH,1536089129,100,14.76,121.64,79.21,6.87
91,kalmunai,32,LK,1536089129,100,7.42,81.82,73.54,3.62
92,lufilufi,76,WS,1536089129,100,-13.87,-171.6,82.18,21.63
93,labuan,90,BN,1536087600,88,5.28,115.24,77.0,2.24
94,hilo,1,US,1536087360,55,19.71,-155.08,80.06,9.17
95,banikoara,48,BJ,1536089130,90,11.3,2.44,74.89,8.32
96,ilulissat,20,GL,1536087000,64,69.22,-51.1,39.2,10.29
97,hasaki,75,JP,1536085800,74,35.73,140.83,82.4,14.99
98,bilma,8,NE,1536089130,27,18.69,12.92,89.74,1.16
99,zhezkazgan,56,KZ,1536088620,65,47.8,67.71,54.91,13.35
100,jamestown,0,AU,1536088635,52,-33.21,138.6,38.89,10.0
101,porto walter,8,BR,1536089131,37,-8.27,-72.74,89.92,5.53
102,anadyr,0,RU,1536084000,87,64.73,177.51,48.2,8.95
103,timmins,90,CA,1536084000,64,48.48,-81.33,69.8,8.05
104,bukama,32,CD,1536089131,59,-9.2,25.85,79.93,2.51
105,san cristobal,40,EC,1536087600,62,-0.39,-78.55,59.0,20.8
106,ancud,44,CL,1536088633,81,-41.87,-73.83,54.64,5.3
107,east london,0,ZA,1536084000,88,-33.02,27.91,62.6,6.93
108,norman wells,40,CA,1536087300,80,65.28,-126.83,39.2,16.11
109,sitka,8,US,1536088637,77,37.17,-99.65,81.1,7.99
110,praia da vitoria,75,PT,1536087600,83,38.73,-27.07,71.6,12.68
111,new norfolk,75,AU,1536087600,87,-42.78,147.06,42.8,8.05
112,saint george,0,GR,1536083400,65,39.45,22.34,77.0,2.24
113,carnarvon,0,ZA,1536088629,25,-30.97,22.13,54.82,13.69
114,ponta do sol,0,BR,1536088646,43,-20.63,-46.0,70.93,12.24
115,sagarejo,0,GE,1536087600,60,41.73,45.33,68.0,4.7
116,pampierstad,0,ZA,1536089132,20,-27.78,24.69,66.52,10.33
117,kathu,0,ZA,1536089133,16,-27.7,23.05,68.5,12.46
118,qaanaaq,76,GL,1536088658,100,77.48,-69.36,32.5,11.01
119,bluff,44,AU,1536088613,87,-23.58,149.07,59.5,12.24
120,muros,20,ES,1536087600,88,42.77,-9.06,66.2,6.93
121,alihe,92,CN,1536089133,99,50.57,123.73,53.65,6.42
122,wageningen,90,NL,1536087300,100,51.98,5.66,73.4,6.31
123,banjarmasin,32,ID,1536089134,96,-3.32,114.59,76.87,5.19
124,nikolskoye,75,RU,1536085800,88,59.7,30.79,64.4,8.95
125,quatre cocos,40,MU,1536084000,78,-20.21,57.76,71.6,13.87
126,namatanai,64,PG,1536088607,100,-3.66,152.44,81.1,8.32
127,lamar,1,US,1536087180,49,38.09,-102.62,80.96,3.36
128,yar-sale,48,RU,1536088681,89,66.83,70.83,57.34,15.7
129,andros town,75,BS,1536087600,62,24.73,-77.79,87.8,13.87
130,ati,24,TD,1536089135,53,13.21,18.34,86.14,8.88
131,awjilah,0,LY,1536088643,27,29.14,21.3,90.28,7.54
132,coquimbo,90,CL,1536087600,76,-29.95,-71.34,57.2,9.17
133,kaitangata,8,NZ,1536088640,71,-46.28,169.85,29.71,5.75
134,tasiilaq,75,GL,1536083400,97,65.61,-37.64,44.6,3.36
135,kenai,1,US,1536087360,66,60.55,-151.26,55.94,6.93
136,puerto ayora,75,EC,1536087600,57,-0.74,-90.35,80.6,17.22
137,dire,92,ET,1536089135,100,9.18,38.92,52.48,2.95
138,klaksvik,92,FO,1536087000,100,62.23,-6.59,50.0,13.87
139,broome,40,GB,1536087360,82,52.47,1.45,59.36,5.82
140,cotonou,80,BJ,1536089136,86,6.37,2.43,78.31,6.98
141,cockburn town,48,TC,1536089136,98,21.46,-71.14,82.81,16.71
142,soyo,8,AO,1536089136,70,-6.13,12.37,75.7,7.09
143,jhudo,0,PK,1536089137,58,24.96,69.3,82.36,14.14
144,balabac,88,PH,1536089137,100,7.99,117.06,84.25,19.28
145,kralendijk,40,BQ,1536087300,70,12.15,-68.27,87.8,12.75
146,kropotkin,0,RU,1536089137,48,45.43,40.58,76.6,14.25
147,nanortalik,92,GL,1536088615,100,60.14,-45.24,38.8,23.31
148,katsuura,100,JP,1536088676,100,33.93,134.5,72.91,4.52
149,homer,1,US,1536087180,77,59.64,-151.54,55.04,4.7
150,krotovka,0,RU,1536089138,66,53.29,51.17,58.6,7.65
151,vaini,92,IN,1536088599,99,15.34,74.49,70.3,4.74
152,anapskaya,0,RU,1536085800,56,44.9,37.38,71.6,6.71
153,saldanha,0,PT,1536088651,52,41.42,-6.55,75.16,2.62
154,alta floresta,0,BR,1536089138,27,-9.87,-56.08,90.82,3.18
155,port elizabeth,20,US,1536087360,57,39.31,-74.98,95.0,4.07
156,mweka,48,CD,1536089138,68,-4.85,21.56,79.75,2.73
157,prince rupert,1,CA,1536084000,87,54.32,-130.32,57.2,2.24
158,champerico,40,MX,1536086640,62,16.38,-93.6,86.0,8.05
159,kondinskoye,0,RU,1536089139,87,59.65,67.41,47.53,2.95
160,dinguiraye,12,GN,1536089139,72,11.29,-10.71,82.0,7.43
161,samana,75,EC,1536087600,78,0.12,-76.97,80.6,4.7
162,pisco,90,PE,1536087600,30,-13.71,-76.2,71.6,6.93
163,dikson,88,RU,1536088604,100,73.51,80.55,41.14,34.16
164,lebu,92,ET,1536088615,100,8.96,38.73,52.48,2.95
165,lavrentiya,20,RU,1536088669,86,65.58,-170.99,48.7,14.7
166,kapaa,90,US,1536087360,87,22.08,-159.32,80.96,14.99
